City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Hobart,AU,2022-08-10 19:59:04,-42.8794,147.3294,40.26,86,11,1.01
90,Bandarbeyla,SO,2022-08-10 20:01:55,9.4942,50.8122,77.41,81,89,32.44
91,Rawson,AR,2022-08-10 19:59:08,-43.3002,-65.1023,56.34,43,100,4.94
92,Donji Milanovac,RS,2022-08-10 20:01:56,44.4627,22.1523,70.7,64,3,3.31
93,Chokurdakh,RU,2022-08-10 19:57:21,70.6333,147.9167,57.88,60,44,9.69
94,Saskylakh,RU,2022-08-10 20:02:57,71.9167,114.0833,45.59,87,46,10.4
95,Busselton,AU,2022-08-10 20:02:58,-33.65,115.3333,51.62,80,40,4.56
96,Langarud,IR,2022-08-10 20:02:59,37.197,50.1535,76.15,75,13,1.43
97,Soller,ES,2022-08-10 20:03:00,39.7662,2.7152,87.42,61,0,1.01
98,Zykovo,RU,2022-08-10 20:03:01,55.9519,93.1461,56.14,94,6,2.3
99,Tabriz,IR,2022-08-10 20:00:11,38.08,46.2919,78.26,36,0,18.41
100,San Cristobal,VE,2022-08-10 20:03:02,7.7669,-72.225,71.94,83,100,5.1
101,Tymovskoye,RU,2022-08-10 20:03:03,50.8456,142.655,56.62,82,91,4.83
102,Gashua,NG,2022-08-10 20:03:03,12.871,11.0482,90.97,39,93,6.4
103,Lompoc,US,2022-08-10 20:03:04,34.6391,-120.4579,91.69,65,0,13.8
104,Finschhafen,PG,2022-08-10 20:03:04,-6.6024,147.8681,76.98,87,100,5.55
105,Kluczbork,PL,2022-08-10 20:03:05,50.9728,18.2182,64.35,52,98,6.62
106,Hithadhoo,MV,2022-08-10 20:03:05,-0.6,73.0833,82.0,73,42,7.56
107,Borogontsy,RU,2022-08-10 20:03:06,62.6683,131.1683,55.62,96,99,5.75
108,La Asuncion,VE,2022-08-10 20:03:07,11.0333,-63.8628,83.89,71,94,7.61
109,Chilca,PE,2022-08-10 20:03:08,-12.5211,-76.7372,63.68,77,5,8.25
110,Bhopal,IN,2022-08-10 19:58:14,23.2667,77.4,74.44,98,100,2.77
111,Lebu,CL,2022-08-10 20:03:09,-37.6167,-73.65,51.66,74,1,4.23
112,Miyakonojo,JP,2022-08-10 20:03:09,31.7333,131.0667,78.44,97,19,0.63
113,Ossora,RU,2022-08-10 20:03:10,59.2353,163.0719,54.39,94,100,13.62
114,Lima,PE,2022-08-10 20:02:02,-12.0432,-77.0282,64.78,70,24,8.99
115,Ponta Do Sol,PT,2022-08-10 20:03:13,32.6667,-17.1,73.71,77,50,5.91
116,Sitka,US,2022-08-10 20:02:49,57.0531,-135.33,59.22,90,100,2.39
117,Hilo,US,2022-08-10 20:03:13,19.7297,-155.09,85.28,78,75,5.01
118,Bonnyville,CA,2022-08-10 19:59:53,54.2668,-110.735,76.03,45,3,14.7
119,Itanagar,IN,2022-08-10 20:03:15,27.1,93.6167,75.22,94,7,2.55
120,Sivaki,RU,2022-08-10 20:03:15,52.6333,126.75,50.54,98,98,4.74
